region,attribute,year,electricity,gas
R1,CommodityPrice,2020,13.98148139,4.7168
R1,CommodityPrice,2025,16.27777778,5.1266
R1,CommodityPrice,2030,17.1574075,5.5364
R1,CommodityPrice,2035,17.50925917,5.9462
R1,CommodityPrice,2040,18.05555556,6.3559
R1,CommodityPrice,2045,20.37962972,6.7657
R1,CommodityPrice,2050,21.5,7.1755
R2,CommodityPrice,2020,19.13888889,4.7168
R2,CommodityPrice,2025,22.86111111,5.1266
R2,CommodityPrice,2030,24.08333333,5.5364
R2,CommodityPrice,2035,20.63888889,5.9462
R2,CommodityPrice,2040,21.32407417,6.3559
R2,CommodityPrice,2045,20.38888889,6.7657
R2,CommodityPrice,2050,19.37037028,7.1755
