ProcessName,RegionName,Time,R1,R2
Unit,-,Year,PJ/y,PJ/y
gasCCGT,R1,2010,300,0
gasCCGT,R1,2020,240,0
gasCCGT,R2,2010,0,200
gasCCGT,R2,2020,0,200
gasCCGT,R1,2025,192,0
gasCCGT,R2,2025,0,140
gasCCGT,R1,2030,153.6,0
gasCCGT,R2,2030,0,98
gasCCGT,R1,2035,122.88,0
gasCCGT,R2,2035,0,68.6
gasCCGT,R1,2040,98.304,0
gasCCGT,R2,2040,0,48.02
gasCCGT,R1,2045,78.6432,0
gasCCGT,R2,2045,0,33.614
gasCCGT,R1,2050,62.91456,0
gasCCGT,R2,2050,0,23.5298
windturbine,R1,2020,0,0
windturbine,R2,2020,0,0
windturbine,R1,2025,0,0
windturbine,R2,2025,0,0
windturbine,R1,2030,0,0
windturbine,R2,2030,0,0
windturbine,R1,2035,0,0
windturbine,R2,2035,0,0
windturbine,R1,2040,0,0
windturbine,R2,2040,0,0
windturbine,R1,2045,0,0
windturbine,R2,2045,0,0
windturbine,R1,2050,0,0
windturbine,R2,2050,0,0
